"filename", "language", "HTML", "JSON", "JavaScript", "Markdown", "XML", "JavaScript JSX", "SCSS", "comment", "blank", "total"
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ModalRenderer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 7, 32
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\modalComponents.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\Alert.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 8, 29
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\AuthModal\LoginForm_email.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 136, 0, 0, 26, 162
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\AuthModal\LoginItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 6, 21
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\AuthModal\LoginModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 106, 0, 0, 21, 127
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\AuthModal\LogoutModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 16, 67
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\AuthModal\SignupForm_email.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 396, 0, 0, 58, 454
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\AuthModal\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 149, 0, 0, 24, 173
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\DeleteConfirmComment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 14, 46
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\ProfileEditor\PhotoEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 194, 0, 6, 47, 247
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\ProfileEditor\ProfileEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 301, 0, 3, 51, 355
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Profile\ProfileHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 113, 0, 1, 17, 131
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Profile\VideoGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 77, 0, 6, 17, 100
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Profile\VideoItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 1, 7, 44
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\SearchComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 108, 0, 6, 33, 147
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Tooltip\Tooltip.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 8, 54
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Tooltip\TooltipContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 8, 42
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\VideoList\TimeLine.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 36, 160
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\VideoList\VideoActions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 152, 0, 0, 22, 174
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\VideoList\VideoItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 281, 0, 12, 51, 344
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\VideoList\VideoList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 124, 0, 1, 36, 161
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\VideoList\VideoPlayer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 14, 103
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\VideoList\VolumeControl.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 4, 21, 86
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\config\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\config\routes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\constants\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 8, 65
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\contexts\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 153, 0, 5, 34, 192
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\contexts\UIContext\UIContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 8, 24
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\contexts\UIContext\UIReducer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 8, 50
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\contexts\VideoContext\VideoContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 13, 74
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\contexts\VideoContext\VideoReducer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 9, 97
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\fakeDB\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 321, 0, 15, 18, 354
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\hooks\debounce.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\hooks\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\hooks\useFollow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 2, 8, 38
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\hooks\useMediaQuery.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 6, 21
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\DefaultLayout\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\HeaderOnlyLayout\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\SidebarOnlyLayout\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Header\HeaderActionMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 96, 0, 5, 25, 126
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Header\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 146, 0, 0, 22, 168
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\MoreOption.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 15, 98
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 12, 96
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\NavbarItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 1, 7, 48
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\SideMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 7, 27
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\SidebarSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 101, 0, 2, 26, 129
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\UserSuggested.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 19, 70
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 206, 0, 11, 51, 268
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 3, 0, 1, 0, 4
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 2, 3, 14
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Chat\Chat.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Chat\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Following\Following.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
